file_name,absolute_path,relative_target_path,extension,width,height,aspect_ratio,file_size,inferred_entity,inferred_category,inferred_district,inferred_panel_role,duplicate_group,quality_status,rights_status,recommended_use,notes
"LVP9488-scaled-e1777492186772.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/LVP9488-scaled-e1777492186772.jpg","","jpg","2287","1707","1.340","290930","lvp9488-scaled-e1777492186772","AMMENITIES","","manual_review_required","290930-lvp9488-scaled-e1777492186772","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO0907.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO0907.jpg","","jpg","2000","1500","1.333","1463927","paseo0907","AMMENITIES","","manual_review_required","1463927-paseo0907","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO1036.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1036.jpg","","jpg","1500","1125","1.333","900022","paseo1036","AMMENITIES","","manual_review_required","900022-paseo1036","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO1139-2-e1769807945951.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1139-2-e1769807945951.jpg","","jpg","1107","1197","0.925","148348","paseo1139-2-e1769807945951","AMMENITIES","","manual_review_required","148348-paseo1139-2-e1769807945951","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO1314.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1314.jpg","","jpg","1000","1333","0.750","477329","paseo1314","AMMENITIES","","manual_review_required","477329-paseo1314","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO1402.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1402.jpg","","jpg","1200","1600","0.750","805078","paseo1402","AMMENITIES","","manual_review_required","805078-paseo1402","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO1508.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1508.jpg","","jpg","2000","1500","1.333","1415070","paseo1508","AMMENITIES","","manual_review_required","1415070-paseo1508","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO1577.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1577.jpg","","jpg","1500","1125","1.333","839784","paseo1577","AMMENITIES","","manual_review_required","839784-paseo1577","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO1804-1.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO1804-1.jpg","","jpg","1500","1125","1.333","814577","paseo1804-1","AMMENITIES","","manual_review_required","814577-paseo1804-1","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO2780.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO2780.jpg","","jpg","1500","1125","1.333","890515","paseo2780","AMMENITIES","","manual_review_required","890515-paseo2780","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO3030-1.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO3030-1.jpg","","jpg","1500","1037","1.446","1251182","paseo3030-1","AMMENITIES","","manual_review_required","1251182-paseo3030-1","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"PASEO3346.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/PASEO3346.jpg","","jpg","1500","1125","1.333","404117","paseo3346","AMMENITIES","","manual_review_required","404117-paseo3346","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"Paseo-Dog-Run-Rendering-e1767804941791.png","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/Paseo-Dog-Run-Rendering-e1767804941791.png","","png","960","654","1.468","1379828","paseo-dog-run-rendering-e1767804941791","AMMENITIES","","manual_review_required","1379828-paseo-dog-run-rendering-e1767804","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"Paseo-Revive-Lounge-Rendering-e1767804971820.png","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/Paseo-Revive-Lounge-Rendering-e1767804971820.png","","png","700","497","1.408","662703","paseo-revive-lounge-rendering-e1767804971820","AMMENITIES","","manual_review_required","662703-paseo-revive-lounge-rendering-e1","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"Paseo-staged-final-full-size-1-scaled.jpg","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/Paseo-staged-final-full-size-1-scaled.jpg","","jpg","2560","1707","1.500","585515","paseo-staged-final-full-size-1-scaled","AMMENITIES","","manual_review_required","585515-paseo-staged-final-full-size-1-s","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
"Rectangle-48-1.png","/Users/megdude/Downloads/PERKS MEDIA/AMMENITIES/Rectangle-48-1.png","","png","912","588","1.551","1219213","rectangle-48-1","AMMENITIES","","manual_review_required","1219213-rectangle-48-1","usable_dimensions","manual_review_required","manual_review_required","Identity and usage rights require review before assignment"
